No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,wd,WSPM,AQI,AQI_Category
4162.0,2013.0,8.0,21.0,9.0,84.0,85.0,1.0,,1100.0,24.0,27.2,1000.3,21.0,ESE,14.95458546289305,180.0,Moderate
4163.0,2013.0,8.0,21.0,10.0,115.0,86.0,1.0,41.0,1100.0,70.0,28.2,1000.1,21.5,Ssw,1.3,283.0,Poor
4164.0,2013.0,8.0,21.0,11.0,114.0,,1.0,34.0,,96.0,28.0,999.6,22.0,n,2.7,280.0,Poor
4165.0,2013.0,8.0,21.0,12.0,111.0,,1.0,34.0,1100.0,109.0,29.4,999.1,20.5,Se,2.5,269.0,Poor
4166.0,2013.0,8.0,21.0,13.0,102.0,66.0,5.0,20.0,1000.0,150.0,30.3,998.5,20.5,Ssw,2.5,239.0,Poor
4167.0,2013.0,8.0,21.0,14.0,99.0,73.0,10.0,14.0,1000.0,195.0,,,18.8,ESE,3.4,267.0,Poor
4168.0,2013.0,8.0,21.0,15.0,84.0,,12.0,-50.54154295060326,12165.106651990933,222.0,30.9,997.7,18.6,S,2.6,303.0,Very Poor
4169.0,2013.0,8.0,8.0,7.0,77.0,97.0,12.0,15.0,800.0,230.0,30.4,997.5,18.2,NNE,2.5,305.0,Very Poor
4170.0,2013.0,8.0,21.0,17.0,71.0,76.0,11.0,19.0,,243.0,29.8,997.3,18.6,N,2.6,307.0,Very Poor
,2013.0,8.0,21.0,18.0,72.0,84.0,15.0,23.0,900.0,210.0,28.5,997.3,18.3,EsE,,301.0,Very Poor
4172.0,2013.0,8.0,21.0,7.0,73.0,106.0,17.0,39.0,900.0,,27.7,997.9,18.7,NNW,1.3,216.0,Poor
4173.0,2013.0,8.0,8.0,20.0,79.0,,14.0,40.0,900.0,151.0,25.3,998.7,19.9,Nw,0.9,175.0,Moderate
4174.0,2013.0,8.0,21.0,21.0,90.0,927.1583997670172,,-50.54154295060326,1000.0,116.0,24.2,998.9,19.7,W,1.0,200.0,Moderate
4175.0,2013.0,8.0,21.0,22.0,96.0,115.0,5.0,41.0,1000.0,95.0,24.2,998.9,19.5,W,,218.0,Poor
4176.0,2013.0,8.0,21.0,23.0,,90.0,2.0,19.0,900.0,111.0,23.4,999.1,19.3,SSW,1.3,200.0,Moderate
4177.0,2013.0,8.0,22.0,0.0,75.0,86.0,1.0,14.0,900.0,108.0,22.8,999.0,19.4,nne,0.8,149.0,Moderate
4178.0,2013.0,8.0,22.0,1.0,,90.0,1.0,25.0,,91.0,22.4,999.3,19.2,sse,0.6,156.0,Moderate
4179.0,2013.0,8.0,22.0,2.0,,87.0,1.0,14.0,800.0,89.0,21.9,999.4,19.1,Ne,0.7,162.0,Moderate
4180.0,2013.0,8.0,22.0,3.0,81.0,90.0,1.0,,-1392.0460264630833,80.0,21.9,999.3,19.1,N,1.0,169.0,Moderate
4181.0,2013.0,8.0,22.0,4.0,85.0,85.0,,339.3900335658202,900.0,80.0,22.0,999.8,19.2,nne,0.1,183.0,Moderate
4182.0,2013.0,8.0,22.0,5.0,,96.0,1.0,-50.54154295060326,900.0,,22.1,1000.2,19.3,wsw,1.6,190.0,Moderate
4183.0,2013.0,8.0,22.0,6.0,107.0,108.0,1.0,30.0,900.0,49.0,22.7,1000.8,19.7,Nw,0.7,256.0,Poor
4184.0,2013.0,8.0,22.0,7.0,107.0,,,25.0,1000.0,57.0,23.4,1001.0,19.8,wnw,0.2,256.0,Poor
4185.0,2013.0,8.0,22.0,8.0,110.0,,1.0,,1100.0,35.0,24.4,1001.0,20.3,N,1.0,266.0,Poor
4186.0,2013.0,8.0,22.0,9.0,117.0,147.0,,73.0,12165.106651990933,13.0,25.0,1001.4,20.3,nw,0.4,290.0,Poor
4187.0,2013.0,8.0,22.0,10.0,119.0,139.0,2.0,70.0,1100.0,24.0,25.6,,21.1,S,0.6,297.0,Poor
4188.0,2013.0,8.0,22.0,11.0,119.0,139.0,,70.0,,,24.9,1000.3,21.2,sw,1.1,297.0,Poor
4189.0,2013.0,7.0,22.0,12.0,108.0,123.0,1.0,54.0,1200.0,28.0,26.0,1000.5,21.7,N,14.95458546289305,259.0,Poor
4190.0,2013.0,8.0,22.0,7.0,,123.0,1.0,50.0,1100.0,40.0,26.6,1000.0,21.8,SSE,0.5,252.0,Poor
4191.0,2013.0,8.0,22.0,14.0,90.0,90.0,3.0,47.0,1000.0,40.0,27.2,999.7,21.7,Ene,0.9,200.0,Moderate
4192.0,2013.0,8.0,22.0,7.0,79.0,55.0,5.0,33.0,900.0,49.0,27.5,999.5,22.7,N,1.0,162.0,Moderate
4193.0,2016.0,8.0,22.0,16.0,73.0,93.0,,38.0,12165.106651990933,30.0,28.2,999.7,22.0,Nne,1.3,142.0,Moderate
4194.0,2013.0,8.0,8.0,17.0,,103.0,,52.0,1100.0,39.0,26.4,999.8,21.8,WNW,1.9,193.0,Moderate
4195.0,2013.0,7.0,22.0,7.0,,,4.0,70.0,1200.0,28.0,26.2,999.9,21.4,S,0.2,256.0,Poor
4196.0,2013.0,8.0,22.0,19.0,108.0,,2.0,72.0,12165.106651990933,,25.0,1000.3,139.72168341311215,ssw,0.0,259.0,Poor
4197.0,2013.0,8.0,22.0,20.0,105.0,119.0,1.0,76.0,1200.0,24.0,24.2,1000.6,21.9,S,0.6,249.0,Poor
4198.0,2013.0,8.0,22.0,21.0,119.0,139.0,3.0,77.0,1300.0,,24.0,1001.1,20.9,E,0.0,297.0,Poor
4199.0,2013.0,8.0,22.0,22.0,,139.0,3.0,,1100.0,13.0,23.5,1000.8,20.4,ssw,0.0,211.0,Poor
4200.0,2013.0,8.0,22.0,23.0,,64.0,3.0,43.0,1000.0,10.0,23.3,1000.8,20.1,NE,0.4,162.0,Moderate
4201.0,2013.0,8.0,23.0,0.0,79.0,,3.0,,-1392.0460264630833,,23.0,1000.5,20.1,wsw,0.1,162.0,Moderate
4202.0,2013.0,8.0,23.0,1.0,53.0,60.0,3.0,41.0,1000.0,12.0,23.5,,20.2,SSW,0.0,88.0,Satisfactory
4203.0,2013.0,8.0,23.0,7.0,59.0,,3.0,32.0,900.0,16.0,23.6,1000.8,20.9,NNW,0.6,98.0,Satisfactory
4204.0,2013.0,8.0,23.0,7.0,75.0,115.0,3.0,49.0,-1392.0460264630833,3.0,22.6,1001.0,20.3,W,0.0,149.0,Moderate
4205.0,2013.0,8.0,8.0,4.0,88.0,106.0,,42.0,-1392.0460264630833,3.0,22.2,1000.9,19.9,w,0.0,193.0,Moderate
4206.0,2013.0,8.0,23.0,5.0,73.0,80.0,1.0,47.0,1200.0,3.0,23.1,1001.3,19.9,NNW,1.2,142.0,Moderate
4207.0,2013.0,8.0,23.0,6.0,57.0,80.0,2.0,44.0,800.0,11.0,23.9,1001.6,19.4,Ene,0.1,95.0,Satisfactory
4208.0,2013.0,8.0,23.0,7.0,-86.80151781696924,61.0,2.0,37.0,800.0,19.0,25.7,1001.9,18.1,N,0.2,95.0,Satisfactory
4209.0,2013.0,8.0,23.0,8.0,49.0,71.0,10.0,42.0,1000.0,19.0,27.3,1001.8,18.6,NNE,1.0,81.0,Satisfactory
4210.0,2013.0,8.0,23.0,9.0,48.0,71.0,26.0,37.0,1000.0,20.0,29.3,1001.9,17.2,wsw,14.95458546289305,80.0,Satisfactory
4211.0,2013.0,8.0,23.0,10.0,40.0,57.0,32.0,36.0,1000.0,,31.8,1001.5,13.1,ESE,1.6,66.0,Satisfactory
4212.0,2013.0,8.0,23.0,11.0,34.0,57.0,27.0,28.0,800.0,,33.5,1000.6,10.8,wnw,3.1,57.0,Satisfactory
4213.0,2013.0,8.0,23.0,12.0,29.0,29.0,15.0,15.0,,80.0,,999.9,11.1,sw,,80.0,Satisfactory
4214.0,2013.0,8.0,23.0,13.0,18.0,-112.54314882272872,4.0,13.0,,89.0,,999.4,10.7,E,1.9,89.0,Satisfactory
4215.0,2013.0,8.0,23.0,14.0,10.0,20.0,4.0,12.0,500.0,103.0,34.4,998.5,13.3,nne,1.1,104.0,Moderate
4216.0,2013.0,8.0,23.0,15.0,15.0,44.0,1.0,,500.0,136.0,33.8,998.0,13.3,W,2.0,153.0,Moderate
4217.0,2013.0,8.0,23.0,16.0,10.0,,1.0,13.0,500.0,146.0,33.4,998.0,14.0,Ssw,2.3,167.0,Moderate
4218.0,2013.0,8.0,23.0,17.0,13.0,40.0,1.0,13.0,500.0,151.0,32.5,998.3,13.7,SW,3.0,175.0,Moderate
4219.0,2013.0,8.0,23.0,18.0,17.0,40.0,1.0,15.0,,149.0,31.0,998.9,15.0,S,1.5,172.0,Moderate
,2013.0,8.0,23.0,19.0,17.0,63.0,1.0,29.0,500.0,120.0,28.3,999.9,16.2,w,0.6,129.0,Moderate
,2013.0,8.0,23.0,20.0,25.0,57.0,1.0,,-1392.0460264630833,99.0,27.1,1000.6,16.1,Ese,0.7,99.0,Satisfactory
4222.0,2013.0,8.0,23.0,7.0,26.0,51.0,1.0,24.0,600.0,90.0,25.2,1000.9,16.6,EnE,1.7,90.0,Satisfactory
4223.0,2013.0,8.0,8.0,22.0,25.0,36.0,1.0,28.0,500.0,83.0,24.3,1000.9,16.0,WSW,1.0,83.0,Satisfactory
4224.0,2013.0,7.0,23.0,23.0,22.0,34.0,1.0,33.0,,70.0,24.0,1001.1,16.0,Nw,0.0,70.0,Satisfactory
4225.0,2013.0,8.0,24.0,0.0,20.0,25.0,,13.0,500.0,91.0,24.0,1001.1,15.8,NE,0.4,91.0,Satisfactory
4226.0,2013.0,8.0,24.0,1.0,-86.80151781696924,26.0,1.0,21.0,12165.106651990933,85.0,22.6,1001.3,16.4,wsw,1.4,85.0,Satisfactory
4227.0,2013.0,8.0,24.0,2.0,26.0,45.0,1.0,339.3900335658202,600.0,60.0,22.5,1001.5,16.1,w,0.5,60.0,Satisfactory
4228.0,2013.0,8.0,24.0,3.0,28.0,39.0,2.0,25.0,600.0,74.0,,1001.2,16.4,ese,0.8,74.0,Satisfactory
4229.0,2013.0,8.0,24.0,4.0,28.0,52.0,3.0,62.0,600.0,,21.0,1001.3,16.4,SE,1.1,77.0,Satisfactory
4230.0,2013.0,8.0,24.0,5.0,20.0,29.0,1.0,32.0,600.0,57.0,21.4,1001.4,15.7,nne,0.8,57.0,Satisfactory
4231.0,2016.0,8.0,24.0,6.0,20.0,27.0,1.0,,600.0,36.0,22.4,,139.72168341311215,S,0.8,59.0,Satisfactory
4232.0,2013.0,8.0,24.0,7.0,23.0,47.0,1.0,54.0,600.0,23.0,26.7,1001.5,14.5,Ne,0.0,67.0,Satisfactory
4233.0,2013.0,7.0,24.0,8.0,25.0,52.0,5.0,55.0,700.0,24.0,28.9,1001.5,14.3,S,1.0,69.0,Satisfactory
4234.0,2013.0,8.0,24.0,9.0,15.0,39.0,6.0,31.0,600.0,47.0,30.9,1001.4,14.5,NnE,0.5,47.0,Good
4235.0,2013.0,8.0,24.0,10.0,17.0,27.0,9.0,-50.54154295060326,600.0,62.0,32.5,1001.2,12.2,N,0.8,62.0,Satisfactory
4236.0,2013.0,8.0,24.0,11.0,21.0,28.0,6.0,23.0,600.0,80.0,32.9,1000.6,13.5,Ne,14.95458546289305,80.0,Satisfactory
4237.0,2013.0,8.0,24.0,12.0,16.0,56.0,1.0,12.0,500.0,107.0,33.5,1000.2,13.5,e,2.3,110.0,Moderate
4238.0,2013.0,8.0,24.0,13.0,,81.0,,27.0,600.0,146.0,34.3,999.7,11.4,NNW,2.3,167.0,Moderate
4239.0,2013.0,8.0,8.0,14.0,15.0,81.0,1.0,14.0,500.0,145.0,34.6,999.2,12.3,Wsw,2.3,166.0,Moderate
4240.0,2013.0,8.0,24.0,15.0,13.0,23.0,,9.0,400.0,131.0,34.3,998.6,10.8,Nw,2.8,145.0,Moderate
4241.0,2013.0,8.0,24.0,16.0,12.0,16.0,1.0,8.0,,133.0,33.8,998.5,11.0,WsW,1.2,148.0,Moderate
4242.0,2013.0,8.0,24.0,17.0,9.0,26.0,1.0,9.0,400.0,129.0,32.9,998.3,11.4,ENE,1.8,142.0,Moderate
4243.0,2013.0,8.0,24.0,18.0,9.0,31.0,1.0,16.0,400.0,132.0,31.1,998.6,12.5,NE,0.8,147.0,Moderate
4244.0,2013.0,8.0,24.0,19.0,14.0,34.0,1.0,20.0,400.0,119.0,27.8,999.3,14.1,WsW,1.1,128.0,Moderate
4245.0,2013.0,8.0,24.0,20.0,26.0,80.0,1.0,,600.0,83.0,26.0,1000.0,13.8,Sw,1.0,83.0,Satisfactory
4246.0,2013.0,8.0,24.0,21.0,,37.0,1.0,27.0,500.0,76.0,24.9,1000.1,13.8,E,1.2,76.0,Satisfactory
4247.0,2013.0,8.0,24.0,22.0,,28.0,1.0,,500.0,76.0,24.1,1000.1,13.6,E,0.6,76.0,Satisfactory
4248.0,2013.0,8.0,24.0,7.0,17.0,21.0,1.0,23.0,,75.0,23.1,1000.2,13.6,EnE,0.4,75.0,Satisfactory
4249.0,2013.0,8.0,25.0,0.0,,24.0,1.0,24.0,400.0,72.0,23.4,1000.0,12.7,sse,,72.0,Satisfactory
4250.0,2013.0,8.0,25.0,1.0,18.0,23.0,1.0,19.0,400.0,75.0,22.2,1000.1,13.5,SSE,,75.0,Satisfactory
4251.0,2013.0,8.0,25.0,7.0,14.0,17.0,225.2858820025741,18.0,400.0,73.0,22.4,1000.0,13.5,ene,14.95458546289305,73.0,Satisfactory
4252.0,2013.0,8.0,25.0,3.0,18.0,25.0,1.0,24.0,,,21.7,999.9,13.8,nne,1.0,30.0,Good
4253.0,2013.0,8.0,25.0,4.0,19.0,35.0,1.0,339.3900335658202,,68.0,20.8,999.7,14.7,W,1.1,68.0,Satisfactory
4254.0,2013.0,8.0,25.0,5.0,19.0,39.0,1.0,28.0,500.0,,21.2,1000.0,15.1,ene,0.7,66.0,Satisfactory
4255.0,2013.0,8.0,25.0,6.0,21.0,47.0,1.0,41.0,500.0,46.0,23.7,1000.0,15.5,sw,0.0,51.0,Satisfactory
4256.0,2013.0,8.0,25.0,7.0,17.0,53.0,1.0,32.0,500.0,50.0,27.1,1000.1,,w,1.2,53.0,Satisfactory
4257.0,2013.0,8.0,25.0,8.0,24.0,55.0,8.0,41.0,,,28.8,1000.2,16.0,SsE,0.5,55.0,Satisfactory
4258.0,2013.0,8.0,25.0,9.0,795.6315748313708,84.0,225.2858820025741,35.0,600.0,62.0,30.6,999.7,16.6,WNW,1.4,84.0,Satisfactory
4259.0,2013.0,8.0,25.0,10.0,28.0,77.0,8.0,28.0,600.0,83.0,31.1,999.1,17.0,EsE,1.4,83.0,Satisfactory
4260.0,2013.0,8.0,25.0,11.0,32.0,90.0,4.0,19.0,600.0,124.0,,998.2,15.7,Nne,,135.0,Moderate
4261.0,2013.0,8.0,25.0,12.0,32.0,76.0,1.0,19.0,600.0,156.0,33.1,997.5,15.6,EnE,3.6,182.0,Moderate
4262.0,2013.0,8.0,25.0,13.0,,52.0,2.0,,500.0,205.0,34.2,996.6,,WnW,2.1,292.0,Poor
4263.0,2013.0,8.0,25.0,14.0,38.0,71.0,4.0,15.0,600.0,,35.2,995.6,12.8,N,3.4,309.0,Very Poor
4264.0,2013.0,8.0,25.0,15.0,,59.0,1.0,18.0,,285.0,34.8,995.3,13.6,N,3.1,315.0,Very Poor
4265.0,2016.0,8.0,25.0,16.0,,49.0,1.0,14.0,500.0,234.0,33.9,995.1,12.8,Nnw,3.4,306.0,Very Poor
4266.0,2013.0,8.0,25.0,17.0,25.0,70.0,1.0,14.0,,,32.3,994.5,13.0,WnW,3.4,305.0,Very Poor
4267.0,2013.0,8.0,25.0,18.0,31.0,52.0,,18.0,500.0,191.0,31.0,994.6,15.0,NNE,1.7,257.0,Poor
4268.0,2013.0,8.0,25.0,19.0,,73.0,,27.0,500.0,163.0,29.7,995.0,15.4,EsE,1.3,193.0,Moderate
4269.0,2013.0,8.0,25.0,20.0,31.0,89.0,1.0,30.0,600.0,140.0,27.9,995.4,15.9,Wsw,0.4,159.0,Moderate
4270.0,2013.0,8.0,25.0,21.0,38.0,87.0,1.0,39.0,700.0,109.0,27.2,995.1,15.9,WnW,0.6,113.0,Moderate
4271.0,2013.0,8.0,8.0,22.0,,48.0,1.0,19.0,600.0,123.0,26.0,995.0,15.4,N,0.8,134.0,Moderate
4272.0,2013.0,8.0,25.0,23.0,30.0,45.0,1.0,19.0,600.0,112.0,24.9,,16.1,nw,,117.0,Moderate
4273.0,2013.0,8.0,26.0,0.0,29.0,49.0,1.0,18.0,500.0,110.0,24.7,995.7,16.1,wsw,0.7,114.0,Moderate
4274.0,2013.0,8.0,26.0,1.0,25.0,50.0,1.0,21.0,500.0,106.0,23.3,995.6,16.3,S,0.4,108.0,Moderate
4275.0,2013.0,8.0,26.0,2.0,30.0,52.0,1.0,17.0,500.0,104.0,23.2,996.1,16.3,NnW,0.4,105.0,Moderate
4276.0,2013.0,8.0,26.0,3.0,30.0,50.0,4.0,,500.0,100.0,22.1,996.3,16.6,E,0.7,100.0,Satisfactory
4277.0,2016.0,8.0,26.0,7.0,,41.0,2.0,10.0,600.0,95.0,21.6,997.0,16.5,NNW,,95.0,Satisfactory
4278.0,2013.0,8.0,26.0,5.0,30.0,52.0,1.0,11.0,600.0,93.0,23.7,997.5,14.4,NW,1.3,93.0,Satisfactory
4279.0,2013.0,7.0,26.0,6.0,24.0,52.0,1.0,14.0,500.0,82.0,25.5,997.7,14.6,NnW,2.2,82.0,Satisfactory
4280.0,2013.0,8.0,26.0,7.0,17.0,32.0,4.0,,400.0,83.0,28.4,997.9,15.0,Sse,2.9,83.0,Satisfactory
4281.0,2013.0,8.0,26.0,8.0,17.0,41.0,6.0,17.0,400.0,,30.2,998.1,14.7,E,1.8,83.0,Satisfactory
4282.0,2013.0,8.0,26.0,9.0,21.0,40.0,1.0,11.0,400.0,,31.9,998.2,14.1,nne,0.9,89.0,Satisfactory
4283.0,2013.0,8.0,26.0,10.0,15.0,30.0,3.0,5.0,400.0,105.0,32.9,997.6,14.5,sse,3.1,107.0,Moderate
4284.0,2013.0,7.0,26.0,11.0,17.0,43.0,1.0,3.0,300.0,127.0,32.6,997.1,13.8,ene,1.9,139.0,Moderate
4285.0,2013.0,8.0,26.0,12.0,20.0,39.0,1.0,7.0,400.0,155.0,33.3,996.5,11.8,ENE,2.4,181.0,Moderate
,2013.0,8.0,26.0,13.0,17.0,-112.54314882272872,6.0,6.0,300.0,159.0,33.6,996.1,10.9,E,3.0,187.0,Moderate
4287.0,2013.0,7.0,26.0,14.0,,8.0,6.0,5.0,300.0,,34.1,995.4,11.3,W,1.2,166.0,Moderate
4288.0,2013.0,8.0,26.0,15.0,7.0,23.0,2.0,6.0,300.0,156.0,34.3,995.1,12.6,ENE,2.2,182.0,Moderate
4289.0,2013.0,8.0,26.0,16.0,19.0,40.0,2.0,,300.0,182.0,33.0,995.1,15.5,e,3.7,234.0,Poor
4290.0,2013.0,8.0,26.0,17.0,,103.0,3.0,,600.0,222.0,31.6,995.3,16.4,NNE,2.4,303.0,Very Poor
4291.0,2013.0,8.0,26.0,18.0,50.0,-112.54314882272872,14.0,18.0,1300.0,234.0,,996.1,20.4,NW,4.0,306.0,Very Poor
4292.0,2013.0,8.0,26.0,19.0,89.0,927.1583997670172,29.0,,2400.0,240.0,28.6,997.0,21.1,Sw,4.4,307.0,Very Poor
4293.0,2013.0,8.0,26.0,20.0,125.0,250.0,23.0,25.0,,212.0,27.6,997.9,20.9,WsW,3.7,304.0,Very Poor
4294.0,2016.0,7.0,26.0,21.0,105.0,182.0,,20.0,1400.0,173.0,26.6,998.4,20.4,W,2.3,249.0,Poor
4295.0,2013.0,8.0,26.0,22.0,85.0,,16.0,14.0,1200.0,152.0,25.6,999.0,21.1,N,14.95458546289305,183.0,Moderate
4296.0,2013.0,8.0,26.0,23.0,79.0,114.0,16.0,9.0,1000.0,-69.59401846428396,24.9,1110.0343441122984,21.0,Ne,4.5,162.0,Moderate
4297.0,2013.0,8.0,27.0,0.0,73.0,82.0,12.0,9.0,800.0,114.0,24.4,999.5,,ssw,14.95458546289305,142.0,Moderate
4298.0,2016.0,8.0,27.0,1.0,61.0,63.0,225.2858820025741,7.0,700.0,97.0,24.2,999.4,20.5,N,2.9,101.0,Moderate
4299.0,2013.0,8.0,27.0,2.0,58.0,,11.0,7.0,,83.0,23.3,999.4,19.5,Se,4.1,97.0,Satisfactory
4300.0,2013.0,8.0,27.0,3.0,49.0,32.0,14.0,19.0,800.0,48.0,23.1,999.3,139.72168341311215,ssw,2.6,81.0,Satisfactory
4301.0,2013.0,8.0,27.0,4.0,36.0,38.0,16.0,26.0,1300.0,41.0,23.0,999.5,19.2,N,2.3,62.0,Satisfactory
4302.0,2013.0,8.0,27.0,5.0,35.0,47.0,18.0,13.0,1300.0,52.0,23.0,999.9,19.2,wnw,2.4,62.0,Satisfactory
4303.0,2013.0,7.0,27.0,7.0,47.0,50.0,19.0,15.0,1200.0,50.0,22.9,999.9,19.1,Nw,2.2,78.0,Satisfactory
4304.0,2013.0,7.0,8.0,7.0,47.0,50.0,19.0,15.0,,47.0,22.7,1000.4,19.1,ESE,2.5,78.0,Satisfactory
4305.0,2013.0,8.0,27.0,8.0,45.0,64.0,23.0,22.0,1200.0,45.0,22.8,1000.4,18.8,Se,1.8,75.0,Satisfactory
4306.0,2013.0,8.0,27.0,9.0,45.0,64.0,23.0,,,40.4838,22.9,1000.6,18.9,nne,1.4,75.0,Satisfactory
4307.0,2013.0,7.0,27.0,10.0,,,,29.0,1400.0,601.6902384209501,23.0,1000.4,18.7,EsE,,79.0,Satisfactory
4308.0,2013.0,8.0,27.0,11.0,54.0,97.0,27.0,,1500.0,36.0,23.3,999.8,,wnw,1.3,97.0,Satisfactory
4309.0,2013.0,8.0,27.0,12.0,54.0,103.0,27.0,32.0,1500.0,39.0,23.4,999.3,19.8,se,1.1,102.0,Moderate
4310.0,2013.0,8.0,27.0,13.0,-86.80151781696924,,,31.0,1600.0,44.0,23.9,998.5,19.8,sw,1.1,111.0,Moderate
4311.0,2013.0,8.0,27.0,14.0,69.0,126.0,,32.0,1700.0,48.0,24.0,998.1,20.1,Sw,0.9,128.0,Moderate
4312.0,2013.0,8.0,27.0,15.0,79.0,131.0,22.0,35.0,,45.0,24.0,997.9,20.1,w,0.8,162.0,Moderate
4313.0,2013.0,8.0,27.0,16.0,82.0,141.0,21.0,34.0,1900.0,46.0,24.2,997.6,20.3,Nw,1.4,173.0,Moderate
4314.0,2013.0,8.0,27.0,17.0,-86.80151781696924,-112.54314882272872,14.0,,1800.0,36.0,24.7,997.3,20.6,Nne,0.8,208.0,Poor
4315.0,2013.0,8.0,27.0,18.0,84.0,130.0,19.0,,,57.0,24.5,997.2,20.6,sse,1.3,180.0,Moderate
4316.0,2013.0,8.0,27.0,19.0,81.0,104.0,19.0,32.0,1800.0,601.6902384209501,24.9,997.0,20.8,N,2.8,169.0,Moderate
4317.0,2013.0,8.0,27.0,20.0,70.0,90.0,16.0,26.0,1500.0,68.0,24.4,997.0,21.1,Nw,2.5,132.0,Moderate
4318.0,2013.0,8.0,27.0,21.0,66.0,84.0,,22.0,1300.0,68.0,23.1,997.0,21.4,E,2.0,118.0,Moderate
4319.0,2013.0,8.0,27.0,22.0,63.0,72.0,8.0,20.0,,57.0,22.5,996.6,21.3,Nne,1.9,108.0,Moderate
4320.0,2013.0,8.0,27.0,23.0,60.0,72.0,3.0,,900.0,56.0,22.6,995.5,21.2,E,2.5,100.0,Satisfactory
4321.0,2013.0,8.0,28.0,0.0,52.0,24.0,4.0,11.0,800.0,50.0,22.5,994.8,20.6,SsW,2.9,86.0,Satisfactory
4322.0,2013.0,8.0,28.0,1.0,52.0,,,11.0,,46.0,22.2,993.8,20.3,Nne,2.6,86.0,Satisfactory
4323.0,2013.0,8.0,28.0,2.0,50.0,11.0,,11.0,,47.0,21.6,992.9,20.2,w,3.0,83.0,Satisfactory
4324.0,2013.0,8.0,28.0,3.0,,22.0,7.0,16.0,12165.106651990933,34.0,,992.8,20.4,S,1.8,75.0,Satisfactory
4325.0,2013.0,8.0,28.0,4.0,33.0,35.0,9.0,23.0,,24.0,21.3,991.9,20.5,Se,3.3,78.0,Satisfactory
4326.0,2013.0,8.0,28.0,5.0,59.0,35.0,4.0,29.0,2000.0,19.0,21.9,,20.7,sse,3.2,100.0,Satisfactory
4327.0,2013.0,8.0,28.0,6.0,,51.0,2.0,20.0,1700.0,46.0,21.7,992.2,20.9,NNW,1.2,84.0,Satisfactory
4328.0,2013.0,8.0,28.0,7.0,71.0,51.0,8.0,26.0,1900.0,26.0,21.6,992.1,20.8,sw,0.7,135.0,Moderate
4329.0,2013.0,8.0,28.0,8.0,66.0,34.0,7.0,30.0,2400.0,17.0,22.3,992.1,21.1,Nw,,118.0,Moderate
4330.0,2013.0,8.0,28.0,9.0,,52.0,11.0,31.0,,13.0,22.7,991.7,21.5,ese,1.0,107.0,Moderate
,2013.0,8.0,28.0,10.0,62.0,52.0,12.0,,2500.0,,23.4,,21.3,ENE,14.95458546289305,106.0,Moderate
4332.0,2013.0,8.0,28.0,7.0,70.0,41.0,7.0,32.0,2500.0,23.0,23.9,990.7,21.4,n,0.4,132.0,Moderate
4333.0,2013.0,8.0,28.0,12.0,72.0,38.0,15.0,31.0,2400.0,32.0,25.0,990.3,21.7,NNW,0.0,139.0,Moderate
4334.0,2013.0,8.0,28.0,13.0,80.0,927.1583997670172,16.0,25.0,2200.0,51.0,25.8,990.3,21.9,EnE,1.1,166.0,Moderate
4335.0,2013.0,8.0,28.0,14.0,80.0,927.1583997670172,13.0,15.0,2100.0,73.0,25.7,989.7,,SSE,0.9,166.0,Moderate
4336.0,2013.0,8.0,28.0,15.0,80.0,47.0,13.0,15.0,,78.0,127.27654148446612,989.3,21.8,EnE,1.2,166.0,Moderate
4337.0,2013.0,8.0,28.0,16.0,78.0,50.0,14.0,25.0,2100.0,,25.3,989.4,21.8,Wsw,14.95458546289305,159.0,Moderate
4338.0,2013.0,8.0,28.0,17.0,81.0,55.0,-19.479077724030905,24.0,,71.0,25.2,989.8,21.9,e,0.6,169.0,Moderate
4339.0,2013.0,8.0,8.0,18.0,-86.80151781696924,55.0,,,2100.0,72.0,24.6,990.1,21.9,NnW,14.95458546289305,159.0,Moderate
4340.0,2013.0,8.0,28.0,19.0,92.0,,,23.0,2100.0,57.0,24.4,989.6,139.72168341311215,E,0.0,204.0,Poor
4341.0,2013.0,8.0,28.0,20.0,92.0,66.0,4.0,28.0,2100.0,46.0,24.0,,22.3,WnW,1.0,204.0,Poor
4342.0,2013.0,8.0,28.0,21.0,101.0,79.0,,30.0,,36.0,23.5,,22.1,N,0.0,235.0,Poor
4343.0,2013.0,8.0,28.0,22.0,99.0,60.0,,19.0,2100.0,31.0,22.9,989.7,21.9,E,0.4,228.0,Poor
4344.0,2013.0,8.0,28.0,23.0,93.0,,1.0,25.0,2200.0,17.0,22.6,989.9,21.4,NNW,0.7,208.0,Poor
4345.0,2013.0,8.0,29.0,0.0,93.0,65.0,,28.0,2100.0,10.0,,990.3,21.2,SSW,1.5,208.0,Poor
4346.0,2013.0,7.0,29.0,1.0,88.0,61.0,1.0,,2000.0,12.0,22.7,990.4,19.3,E,1.2,193.0,Moderate
,2013.0,8.0,29.0,2.0,74.0,,1.0,32.0,1600.0,12.0,21.9,990.3,17.1,sse,1.3,145.0,Moderate
4348.0,2013.0,8.0,29.0,3.0,21.0,21.0,12.0,21.0,,,24.8,990.6,11.7,SE,2.8,35.0,Good
4349.0,2013.0,8.0,29.0,4.0,-86.80151781696924,3.0,,21.0,,35.0,23.4,991.1,10.4,SW,1.1,35.0,Good
